,tig1,tig1len,tig1_freq,dir2,tig2,tig2len,tig2_freq,dir2,n_barcodes
68,tig00001872_pilon_pilon,120273,59,f,tig00000704_pilon_pilon,64236,33,r,1
69,tig00000704_pilon_pilon,64236,33,f,tig00001872_pilon_pilon,120273,59,r,1
70,tig00001872_pilon_pilon,120273,59,f,tig00000891_pilon_pilon,58389,5,f,1
71,tig00000891_pilon_pilon,58389,5,r,tig00001872_pilon_pilon,120273,59,r,1
72,tig00001872_pilon_pilon,120273,59,f,tig00001087_pilon_pilon,55266,5,r,1
73,tig00001087_pilon_pilon,55266,5,f,tig00001872_pilon_pilon,120273,59,r,1
74,tig00001872_pilon_pilon,120273,59,f,tig00001399_pilon_pilon,4553363,63,f,1
75,tig00001399_pilon_pilon,4553363,63,r,tig00001872_pilon_pilon,120273,59,r,1
76,tig00001872_pilon_pilon,120273,59,f,tig00001816_pilon_pilon,83211,15,r,1
77,tig00001816_pilon_pilon,83211,15,f,tig00001872_pilon_pilon,120273,59,r,1
78,tig00001876_pilon_pilon,84541,19,r,tig00000399_pilon_pilon,42655502,67,r,1
79,tig00000399_pilon_pilon,42655502,67,f,tig00001876_pilon_pilon,84541,19,f,1
80,tig00001876_pilon_pilon,84541,19,r,tig00000425_pilon_pilon,76755,25,f,1
81,tig00000425_pilon_pilon,76755,25,r,tig00001876_pilon_pilon,84541,19,f,1
82,tig00001876_pilon_pilon,84541,19,r,tig00000559_pilon_pilon,80422,41,r,1
83,tig00000559_pilon_pilon,80422,41,f,tig00001876_pilon_pilon,84541,19,f,1
84,tig00001876_pilon_pilon,84541,19,r,tig00000890_pilon_pilon,5805833,59,f,1
85,tig00000890_pilon_pilon,5805833,59,r,tig00001876_pilon_pilon,84541,19,f,1
86,tig00001876_pilon_pilon,84541,19,f,tig00000113_pilon_pilon,59245,31,f,1
87,tig00000113_pilon_pilon,59245,31,r,tig00001876_pilon_pilon,84541,19,r,1
88,tig00001876_pilon_pilon,84541,19,r,tig00001457_pilon_pilon,144580,73,r,1
89,tig00001457_pilon_pilon,144580,73,f,tig00001876_pilon_pilon,84541,19,f,1
90,tig00001876_pilon_pilon,84541,19,r,tig00000009_pilon_pilon,49328,17,f,1
91,tig00000009_pilon_pilon,49328,17,r,tig00001876_pilon_pilon,84541,19,f,1
92,tig00001876_pilon_pilon,84541,19,f,tig00001662_pilon_pilon,364214,39,f,1
93,tig00001662_pilon_pilon,364214,39,r,tig00001876_pilon_pilon,84541,19,r,1
94,tig00001876_pilon_pilon,84541,19,f,tig00001758_pilon_pilon,59921,37,r,1
95,tig00001758_pilon_pilon,59921,37,f,tig00001876_pilon_pilon,84541,19,r,1
